"AnimalID","sdAll","sdNoMix","baseAll","baseNoMix"
"81670","migrant","migrant","migrant","migrant"
"81690","migrant","migrant","migrant","migrant"
"BROOT0004","mixmig","migrant","mixmig","migrant"
"BROOT0005","resident","resident","resident","resident"
"BROOT0007","mixmig","migrant","mixmig","migrant"
"BROOT0011","migrant","migrant","migrant","migrant"
"BROOT0012","mixmig","migrant","mixmig","migrant"
"BROOT0014","mixmig","migrant","mixmig","migrant"
"BROOT0017","mixmig","migrant","mixmig","migrant"
"BROOT0018","migrant","migrant","migrant","migrant"
"BROOT0019","mixmig","migrant","mixmig","migrant"
"BROOT0022","mixmig","migrant","mixmig","migrant"
"BROOT0023","mixmig","migrant","mixmig","migrant"
"BROOT0025","mixmig","migrant","mixmig","migrant"
"BROOT0026","mixmig","migrant","mixmig","migrant"
"BROOT0027","mixmig","migrant","mixmig","migrant"
"BROOT0030","migrant","migrant","migrant","migrant"
"BROOT0031","mixmig","migrant","mixmig","migrant"
"BROOT0032","mixmig","migrant","mixmig","migrant"
"BROOT0033","migrant","migrant","migrant","migrant"
"BROOT0035","migrant","migrant","migrant","migrant"
"BROOT0036","mixmig","migrant","mixmig","migrant"
"BROOT0037","mixmig","migrant","mixmig","migrant"
"BROOT0039","mixmig","migrant","mixmig","migrant"
"BROOT0042","mixmig","migrant","mixmig","migrant"
"BROOT0050","mixmig","disperser","mixmig","disperser"
"BROOT1108","mixmig","migrant","mixmig","migrant"
"BROOT1109","mixmig","migrant","mixmig","migrant"
"BROOT1110","mixmig","migrant","mixmig","migrant"
"BROOT1112","mixmig","migrant","mixmig","migrant"
"BROOT1114","mixmig","migrant","mixmig","migrant"
"BROOT1115","mixmig","migrant","mixmig","migrant"
"BROOT1116","mixmig","migrant","mixmig","migrant"
"BROOT1117","mixmig","migrant","mixmig","migrant"
"BROOT1118","migrant","migrant","migrant","migrant"
"BROOT1119","mixmig","migrant","mixmig","migrant"
"BROOT1120","mixmig","resident","mixmig","resident"
"BROOT1122","mixmig","migrant","mixmig","migrant"
"BROOT1123","mixmig","migrant","mixmig","migrant"
"BROOT1124","mixmig","disperser","mixmig","disperser"
"BROOT1125","mixmig","migrant","mixmig","migrant"
"BROOT1126","disperser","disperser","disperser","disperser"
"BROOT1127","mixmig","migrant","mixmig","migrant"
"BROOT1134","mixmig","migrant","mixmig","migrant"
"BROOT1136","nomad","nomad","nomad","nomad"
"BROOT1137","mixmig","migrant","mixmig","migrant"
"BROOT1138","mixmig","migrant","mixmig","migrant"
"BROOT1141","resident","resident","resident","resident"
"BROOT1145","mixmig","migrant","mixmig","migrant"
"BROOT130002","migrant","migrant","migrant","migrant"
"BROOT130003","mixmig","resident","mixmig","resident"
"BROOT130004","mixmig","migrant","mixmig","migrant"
"BROOT130005","migrant","migrant","migrant","migrant"
"BROOT130006","mixmig","migrant","mixmig","migrant"
"BROOT130009","nomad","nomad","nomad","nomad"
